category,rating,label,text_
Automotive,3.0,CG,They treat their customer like family. The guys here are knowledgeable and friendly. They have been taking care
Automotive,4.0,CG,Great work and service drove me to the dealership to pick up my car.  I was treated fairly
Automotive,3.5,OR,Quick and friendly service for tire rotation and multipoint inspection.
Automotive,2.5,OR,The situation was promptly corrected.  Thank you Courtesy Collision.
Automotive,2.5,CG,"Rude beond belief! 
Questionable skills, an unprofessional attitude."
Automotive,1.5,CG,"Lil pricy,  good workers,  fast,  very friendly service."
Automotive,4.5,OR,Very courteous technicians and explained oil selection well. Service completed efficiently.
Automotive,4.5,OR,Fast and friendly boat service! Great location to take off from!
Automotive,4.5,CG,"If only all businesses operated by an outside dealership, you're better off going to the local one."
Automotive,5.0,CG,Great shop with fair pricing and fair pricing.  I've always had my car serviced here.
Automotive,3.5,CG,"Steve was OUTSTANDING!!!!
*Arrived quick
*Highly Skilled
*Excellent customer"
Automotive,3.5,OR,smog check done here this morning. Great friendly service.
Automotive,4.5,OR,Fast reliable service and can get everything done on site including registration.
Automotive,3.5,OR,I needed an oil change and they took care of it quickly.
Automotive,3.0,CG,Unprofessional employees. Talk disrespectfully to customers. The only reason I'm giving 4 stars is because
Automotive,4.5,CG,I've brought several vehicles here. They are always very friendly and professional.
Automotive,3.0,CG,Excellant customer service. Comfortable waiting area with free coffee and a good selection.
Automotive,3.0,CG,They consistently do a good job of keeping the cars in good working order. They have been extremely thorough
Automotive,2.5,CG,Great customer service. Right on time and professional. Great prices too. Will be back!Very rude
Automotive,1.5,OR,"THE WORST TOWING ""company"" EVERRR!!! Took them 4.5 daysss! Complete and utter ridiculousness."
Automotive,2.5,OR,BEWARE!!! This dealership increases your cost by putting miscellaneous charges on your invoices.
Automotive,2.0,OR,THIEVES! I hope there is a special place in HELL for these people!
Automotive,4.0,OR,Here again for oil change. Awesome service. Richard was fantastic! Always great crew!!
Automotive,4.5,OR,"They are vary dependable and reliable!! Also, great prices and negotiating all around"
Automotive,4.0,CG,Always great service and well priced. The guys here are knowledgeable and friendly. They have been taking care
Automotive,4.5,CG,"Greg is awesome, just go here. The guys here are knowledgeable, polite, and the prices are"
Automotive,2.5,CG,Took 47 minutes to get ahold of the service advisor.
Automotive,5.0,CG,"Awesome tow truck service. Dependable, fast, and very friendly."
Automotive,3.5,OR,just wanted to add an update.....searched on google maps and found similar reviews !
Automotive,5.0,OR,Awesome friendly folks! I definitely recommend them to anyone with a bmw or Mercedes.
Automotive,4.0,OR,The customer service here is outstanding. My second visit and no complaints! Highly recommend.
Automotive,4.0,OR,"I always receive great service from Buckley's Auto.  Responsive, thorough, professional and honest."
Automotive,4.0,CG,Awesome customer service. No wait time. The guys were friendly and professional.
Automotive,3.5,CG,Good value! Monthly pass is $35 and the wash is $22. When I got home the
Automotive,3.5,CG,"This is reputable business that doesn't make you feel like you're being taken advantage of. 
"
Automotive,4.0,CG,"Great experience here! Clean, professional, and fast!  Great prices too!  Highly recommend!"
Automotive,4.5,CG,Failed test. Took car to dealership. Told them they did not have time for the
Automotive,2.0,CG,"Average. 
Usually have to point out an issue with the vehicle but it's important to know"
Automotive,3.0,OR,What's the point of you guys even having roadside assistance? It's never in service anyway
Automotive,3.5,OR,"Great place to wash your car.  Facilities are clean, everything works and reasonably priced."
Automotive,4.5,OR,"Great inventory of truck parts and professional service, as well as advice. I recommend them."
Automotive,4.5,OR,"I had my car repaired and returned within 48 hours, could not except better service!"
Automotive,4.0,OR,Excellent customer service  repairs were performed after I was contacted and everything was expplained.
Automotive,4.0,OR,"Excellent damage evaluation, fine workmanship, timely service and attractive pricing.  Morel's:  Highly recommended."
Automotive,1.5,CG,They jacked up the price and refused to let me drive the car around for a test drive.
Automotive,1.5,CG,Fast and professional service. Minus $60 for an oil change.
Automotive,5.0,CG,Showed up on time and was helped by the owner. He was very kind and very personable
Automotive,2.0,CG,Appointment doesn't matter......1-1/2 hours wait time. The only reason why I
Automotive,4.5,CG,"Justin at the Oracle and the manager, Dan, are very professional and kind. I would recommend this"
Automotive,2.5,CG,"Great place, friendly hard working people. The guys here are knowledgeable and friendly. They have been taking"
Automotive,2.0,CG,Horrible towing company. waited over 2 hours and they never called me back.
Automotive,4.0,CG,I've been coming here for years. The guys are honest and will work with you to get you
Automotive,3.0,CG,Champion Service department can pound for an easy appointment and they're always polite and professional.
Automotive,4.0,OR,"Excellent service, honest and reliable. Been bringing both of my cars here for years."
Automotive,2.5,OR,"Very nice and courteous staff! 
They help and guide you with whatever questions/doubts you may have."
Automotive,4.0,OR,These guys are great! They helped research parts which saved me thousands of dollars.
Automotive,5.0,OR,Excellent service.  They had my quotes sent off the next day to the insurance company.
Automotive,5.0,OR,Excellent quality work. The car looks and smells brand new. Will definitely be a repeat customer.
Automotive,4.5,OR,Easy experience right from booking my appointment to choosing my service and picking up my vehicle.
Automotive,2.0,OR,10th in line after having to go to another terminal. Only 1 attendant at the kiosk.
Automotive,5.0,OR,"Tony did a great job on fully detailing my car. Lovely to work with, highly recommend."
Automotive,4.5,OR,Brandon (think that was his name. ) was super helpful and a pleasure to work with.
Automotive,2.0,CG,"Got an oil change and tire rotation and an oil change.  

The person who checked"
Automotive,4.5,CG,I've been to many automobile shops in the area and these guys are top notch.
Automotive,4.5,CG,I take my Lamborghini here for all my car needs. I will always come here for all
Automotive,2.5,CG,Omg slow!!!!!!!!!!! There is no way to get an oil change here.
Automotive,4.0,CG,"Fantastic mechanics. Knowledgeable, quick, and fair pricing."
Automotive,3.0,CG,"This is a great shop, and will be the only place I will go for my car needs."
Automotive,4.5,CG,Very friendly and knowledgeable. We will be back.Very good service.  They got me in and
Automotive,3.0,CG,Excellent service!!  What an amazing place!  Great prices too!  Highly recommend!I just
Automotive,3.0,CG,Wide selection of parts great customer service and quality work. I will definitely be using this shop for all
Automotive,4.5,OR,The secret to a good business is great customer service... 2 the lady who answered the phone.
Automotive,3.0,OR,Only car dealer I have ever thought wasn't trying to rip me off....great guys and great service!
Automotive,4.5,OR,"I have come in twice for tire repairs. Affordable, fast and great customer service! Would definitely recommend."
Automotive,1.5,OR,Horrible customer service and extremely long wait. It's as if they don't want you to come back.
Automotive,2.5,OR,"Horrible customer service, if this store wants to stay open I suggest hiring a whole new staff."
Automotive,1.0,OR,Terrible cut throat company!!! They will overcharge you out of business!! Please avoid them at all cost!!!!!!
Automotive,4.0,OR,"One of the best customer service experiences in my life. Helpful, gracious and honest."
Automotive,3.5,OR,Dan is a complete scumbag. Totally overcharged me and took three times as long as he said.
Automotive,3.5,OR,Super friendly and hard working staff!! Not to mention fair pricing for a really good car wash
Automotive,3.0,CG,Avoid this location. You could go to the dealership and get a better deal for a better deal.
Automotive,2.5,CG,Don't go here to try and sell you anything you don't need. If you do go here
Automotive,2.5,CG,"Extremely rude, I do NOT recommend this place. 

I brought my car in for"
Automotive,4.5,CG,I arrived 12 minutes before closing. The guys were friendly and professional. When I got to the front
Automotive,4.5,CG,Essy was so professional and friendly. The car looked brand new when I picked it up! 
Automotive,4.0,CG,"The mini detail is literally $200 more than the dealer.

The actual car was pretty good"
Automotive,2.5,CG,Not the best of dealers. We have been to many dealerships in Reno that have the same experience
Automotive,4.0,CG,"The best customer service at this dealership.  We worked with a salesperson, Chris, and we"
Automotive,3.5,CG,PJ and Jeremy we're super nice and professional. We just bought a new car and the whole
Automotive,4.5,CG,Had my 15 yo car detailed here and the work was done in a timely manner.
Automotive,3.5,CG,Amazing! Great service at a reasonable price. Great prices too.
Automotive,3.0,CG,AAA dispatched them to come tow me and let me know what they were going to do to the car
Automotive,4.5,OR,Made an online inquiry but they never responded. Went and found another shop. Lot of competition out there.
Automotive,4.0,OR,If I could give this place zero stars I would. Don't waste your time or your money here.
Automotive,4.5,OR,Excellent service! Thank you Jiffy Lube for having people like Brandon to help my grandmother! Brandon you rock!!!!!
Automotive,3.5,OR,Extremely pleasant staff and honest. Was not trying to sell me on anything as well.
Automotive,3.5,OR,Always take great care of of my car in a timely manner. Friendly and professional.
Automotive,5.0,OR,"Bruce was great. Explained everything I said I needed, and then figured out the much less expensive solution."
Automotive,3.5,OR,Great customer service and friendly staff! Car was clean and handled well. I would rent here again.
Automotive,4.0,OR,"Gary has always been professional and reliable. Thank you Guys for inspecting my brakes and the oil change!
AH"
Automotive,3.5,OR,"the best oil change experience. friendly employees, quick turn around time, fair prices (there's always coupons). highly recommend."
Automotive,4.5,OR,This car repair shop is well done and the workplace is clean.  Mr. Lang and Anh Thanh.
Automotive,2.5,OR,Sales and service departments have exceeded my expectations. The best car buying and service experience I've ever had.
Automotive,2.0,OR,Love coming here I think is one of the best car wash in town the staff always friendly!!
Automotive,5.0,CG,"Very pleased with the results. 

I'd recommend this location to anyone who needs their vehicle"
Automotive,5.0,CG,"Expert, honest auto technicians. I've had my car serviced here twice now and each time"
Automotive,1.5,CG,"Unkompliziert und sehr schnell
Bin sehr wen I"
Automotive,3.5,CG,Great place to buy a car. The guys here are knowledgeable and friendly. They have been around for
Automotive,3.5,CG,"Awesome folks. Let me tell you, they are honest, reliable and fair."
Automotive,3.0,CG,Defiantly a better one then what I was hoping for. I will definitely be back!Very
Automotive,2.0,CG,"For oil change service, tire rotation, and an oil change.

The staff is friendly and"
Automotive,5.0,CG,They do a fantastic job and do a great job. I will definitely come back!Very rude.
Automotive,4.0,CG,Fast but quality service. Got a quote and they were able to fix it for a reasonable price.
Automotive,3.0,CG,They did a great job. We will be back!I've been going to this car wash for
Automotive,3.5,CG,A friend got charged for a tire and the tire was flat.  When I got home the tire
Automotive,4.0,CG,Very professional and helpful so far. The guys here are knowledgeable and friendly and have a great team.
Automotive,5.0,CG,Great service! Super fast turnaround time. The guys were friendly and professional.
Automotive,4.5,OR,"Fast, easy, and hassle free....like an oil change should be. I will return to this location in the future."
Automotive,1.5,OR,long wait and the little bit of dirt and mud was still on it after top wash and wax
Automotive,3.0,OR,Best way to fly out of Phila!  Great service and excellent customer care!  Will definitely use again.
Automotive,5.0,OR,I had an overheating issue that was really hard to troubleshoot. I love my TRANS AM again! Thanks Greg.
Automotive,5.0,OR,I recommend this place to anyone looking for tinting. Tom is a perfectionist with great work ethic.
Automotive,4.5,OR,"Just had my fender repaired. They did a good job, communicated, and even cleaned up the interior. Very happy."
Automotive,4.5,OR,Great first experience. Super nice staff and work done reliably at a good price. Would definitely recommend this place!
Automotive,3.0,OR,Great place to get your car serviced. Large corporation backing with the feeling of a mom and pop business.
Automotive,4.5,OR,Excellent service. We got our car inspected here and the service was fast and professional. Great prices as well.
Automotive,4.0,OR,Just had to have my car repaired here after an accident. Excellent service-very honest and reasonable. Would use again.
Automotive,3.0,OR,"Got a reply from Karen W, saying they will reach out to me...it's been 1 week and still nothing..."
Automotive,2.5,OR,This car wash is very overpriced for the level of service. Lobby has very poor lighting and no WiFi!
Automotive,2.5,OR,"They were quick, kind and helpful! Had an air leak and they managed to fix it in under 30!"
Automotive,4.5,CG,"Still the most trustworthy and honest mechanics I've ever worked with. 

The guys here are"
