category,rating,label,text_
Beauty & Spas,4.5,CG,Tailors each experience to the point of the fact that they are all very talented.
Beauty & Spas,4.5,CG,Great place...super friendly atmosphere!! Best pedicure ever!  I will definitely be back!
Beauty & Spas,3.5,OR,LeAnn does a great job on pedi's! Highly recommend her!
Beauty & Spas,5.0,OR,"Great office!  Friendly staff, skilled doctors and convenient hours."
Beauty & Spas,3.0,CG,Manicure and pedicure....go to Mary Ann! She does an amazing job! She
Beauty & Spas,4.5,OR,Awesome massages! Can't wait to get back.
Beauty & Spas,3.5,CG,"Jerome was great, good listener, and professional. She took her time and did a great job"
Beauty & Spas,5.0,CG,painless and thorough. that's all I can say.
Beauty & Spas,4.0,OR,Great product and service. Ann is amazing! Call ahead for an appointment.
Beauty & Spas,4.5,OR,"Great massage! Warm, relaxing- next time in New Hope, I'm  there."
Beauty & Spas,4.5,CG,"Decent massage seemed knowledgeable coughed and unorganized. 

I left with a sore"
Beauty & Spas,4.0,CG,"Very rude person works there, and has the worst attitude. I will never come back here."
Beauty & Spas,4.5,CG,Did the spray tanning and brow tinting. It was a full hour and a half and the
Beauty & Spas,5.0,OR,This place never disappoints! I would definitely recommend for all your waxing needs!
Beauty & Spas,3.0,OR,"Beautiful nails at a very reasonable price. Service was quick, friendly, and efficient"
Beauty & Spas,4.5,OR,Best salon in Philly.  Won't trust anyone else to do my hair.
Beauty & Spas,4.0,CG,"Great place! The service was amazing. The owner, Nancy, did a great job! I got"
Beauty & Spas,3.0,CG,"Manicures include hand scrubbing & lotion, neck massage and paraffin dip."
Beauty & Spas,3.5,CG,"My absolute favorite nail shop in the area. 

I love my nails! I just got"
Beauty & Spas,5.0,CG,Ruby was awesome! The facility is very clean and very comfortable. My massage therapist was very strong and
Beauty & Spas,3.5,CG,This is an authentic yoga studio. The space is comfortable and inviting. There is a large yoga studio
Beauty & Spas,3.5,CG,Great fade from Kerri AND she has the skills to make it look as good as it possibly could
