category,rating,label,text_
Food,4.5,CG,Amazingly fresh donuts. You've been warned. The only reason I'm giving 4 stars is
Food,5.0,CG,Great beer and service in a very professional manner.  I will definitely be back!Very rude.
Food,5.0,CG,"Wonderful Time!
Staff Is Excellent!
Whiskey Is Not an easy task to make"
Food,4.0,OR,From first hand experience this place has Nashville's best hamburger.
Food,4.0,OR,Best and freshest bulk food in Tucson. Best fresh veggies.
Food,2.0,OR,Food poisoning. Also the staff is constantly arguing among themselves.
Food,4.5,CG,"Good strong espresso in a nice place, with lots of seating."
Food,4.0,CG,"LOVE LOVE LOVE!! Water ice, ice cream, ice cream, smoothies, etc! I"
Food,3.0,CG,"great customer service, clean store, and an amazing selection of beer."
Food,3.5,OR,Just like any other starbucks and the service is nice :)
Food,4.0,OR,"Stunning space / decor.
Very friendly staff.
Reasonable price.
Delicious product.
Overall a wonderful experience."
Food,4.5,OR,best little coffee shop in the area.
Food,3.5,CG,"Refreshing, delicious, & addictive! The ice cream is homemade and you can't go wrong"
Food,4.0,CG,"Delicious, great selection, clean atmosphere. Staff is always friendly and knowledgeable."
Food,4.5,CG,"Tried the mini sweet potato, strawberry banana, and the chocolate chip cookie."
Food,4.5,OR,"Local small batch roasts. Quality, love and pride in every roast."
Food,5.0,OR,Love their mint mojito and lounging around! A nice spot in midtown
Food,4.5,OR,"Delicious till the last scraped out bite!!! 
Warning though."
Food,4.0,CG,"No matter what kind you are craving, the staff is always friendly and helpful."
Food,4.5,CG,OK. Its true. But it's the best part of the world.
Food,3.5,CG,Great Starbucks location. Wildly efficient and friendly staff. Great location for a Starbucks!This is a
Food,4.5,CG,I will definitly come back here. The only reason I don't give this place a 4
Food,4.5,OR,Black Acre has such a great atmosphere and brings something different to Irvington.
Food,5.0,OR,"Excellent coffee, excellent atmosphere, excellent service, excellent brownie, hard to find."
Food,4.5,OR,"For what it is, Bread Top House is as good as it gets!"
Food,4.0,OR,"Great location, groovy ambiance, delicious chai! Perfect for a mosey-along kind of day."
Food,4.5,CG,"Tastes like Ted Drewes lol

also, it's a little pricey but its worth"
Food,4.5,CG,Hands down best roaster in Tampa. The quality and quality of the product is just the same
Food,4.5,CG,Awesome chill spot! Great coffee and an amazing menu! We've been back for a couple of hours
Food,4.5,CG,Awesome spice combinations and very friendly staff.  Great prices too.  Definitely a must go to.
Food,4.5,CG,Had The Cuban coffee and it was amazing. It was a little on the sweet side but the coffee
Food,3.0,CG,"Friendly, quick service and reliably prompt. The only downside is that it's close to the airport"
Food,4.5,CG,Super cute brewery. Love the atmosphere. The bartender was super friendly and nice.
Food,4.0,CG,"Friendly staff, drinks are delicious, and the food is just what you'd expect from a local"
Food,4.5,CG,Whole family loves this place. We have been going here for years and love it.
Food,4.5,OR,Great frozen yogurt and love the low carbs!!!  Super Nice Staff!!  Yummy!
Food,2.0,OR,"These guys made me a cake with the word ""Booty"" on it. They rule."
Food,3.5,OR,love this place!! Amazing apples and loved the chocolate covered strawberries.
Food,4.5,OR,"Wonderful wines, lovey staff, my Choice for an afternoon break from real life problems"
Food,4.5,OR,"Very good, I believe naturally made ice cream, the flavors change periodically as well"
Food,4.0,OR,"The blueberry buckle was divine, the coffee delish, especially aftery the watery hotel coffee!"
Food,2.5,OR,Good Wal-Mart got my tire fixed here had a nail and was near work.
Food,4.5,OR,Awesome collection of greenery and information.  Fun for all ages and pretty affordable.
Food,3.5,OR,Best bagels in south jersey area. Friendly staff and fast service. Great breakfast spot.
Food,5.0,CG,Bought a cheesecake for my daughter's birthday. It was good but not spectacular.
Food,3.0,CG,"Great deals
Great service. Best store in Tampa. The employees are friendly and helpful."
Food,4.5,CG,Fabulous coffee. Knowledgeable barista. Makes a great cup of Joe.
Food,4.5,CG,Great parfait and iced macha chai.  Great ambiance and friendly staff.
Food,5.0,CG,"Best service, kindest people, incredible ice cream, and the best ice cream around!This is"
Food,4.5,CG,Great coffee! These guys know what they are doing and make good coffee.
Food,3.0,CG,"Today County Pride pissed me off. The owner, Chris, is a lovely person who is passionate about"
Food,4.5,CG,This is still the best ice cream I've ever had. My husband and I got the strawberry short
Food,4.0,CG,Good little place and friendly staff. The only downside is that it's close to the park and we
Food,2.0,CG,Because employees hinder one another from being the only one in the store. There is a person who is
Food,4.5,CG,"Great selection of proprietary craft beers. The only downside is that it's close to the park, but"
Food,3.5,OR,This review is strictly for Vikki and Colby being rockstars in the customer service/returns area!
Food,4.5,OR,"Delicious, warm, fresh cookies. Love this place a lot . Wish they were more locations"
Food,4.0,OR,Awesome please with some delicious deserts I work very friendly staff. Never a bad time.
Food,4.5,OR,"Simply the best local vinyl playing, sweet/savory baked goods and coffee/tea joint in St Pete!"
Food,4.0,OR,"Great ice cream and friendly service! Loved that it was ""homemade"" as opposed to commercial."
Food,4.5,OR,Very tasty and reasonably priced food.I will make a habit of ordering on schedule basis.
Food,4.5,OR,A great option for yogurt. Many flavors to try. A nice dessert option. Always clean.
Food,4.0,OR,"Great pub for casual dining... solid for a quick dinner-date... Good price, selection and time."
Food,3.5,OR,"Not really much taste, just super sweet aftertaste for hours. Nut on top tasted stale."
Food,4.0,OR,"Best CVS! Super well stocked on everything from sunblocks to food stuff. Clean, and courteous."
Food,3.5,OR,Great ice cream and service! I got the Kilwins track and chocolate salted caramel flavors.
Food,4.5,CG,Great place for an excellent wine. The owner is very knowledgeable about wine and the wines are top notch
Food,4.0,CG,Watching them make the ice cream. The only reason I don't give this place a 4 star
Food,4.5,CG,We seem to stop on time to visit the store. I will say that the store is pretty small
Food,4.5,CG,Good coffee and sweet rolls. We will be back!Very good smoothies! The best smoothie
Food,4.5,CG,"Pretty standard yogurt/ice cream place, but it's a chain."
Food,4.0,CG,A little bit of Heaven!! We will be back!Very good smoothies! The best! Super
Food,4.5,CG,Still a great treat. Wide variety of flavors. Friendly staff.
Food,4.5,CG,The donuts were good. The strawberry banana and the chocolate chocolate chip cookie were also really good.
Food,5.0,CG,Loved the coffee. Great atmosphere and the people are very friendly. My husband and I got a
Food,4.5,CG,Just moved to the Boise area and I thought it was a great place to go for a cup of
Food,5.0,CG,"amazing coffee,best i have ever had. The almond croissant is to die for!"
