category,rating,label,text_
Home Services,3.0,CG,What a great place to live. The guys at the front desk are always very helpful and helpful.
Home Services,4.5,CG,I really love this guy. He has the utmost knowledge and patience.  He is the person you
Home Services,1.5,OR,Terrible!!! Don't waste your time. The owner does not care!!
Home Services,5.0,OR,"Excellent, friendly and very responsive service! Reasonable prices."
Home Services,3.5,CG,Excellent customer service. I appreciate that. The guys at the front desk are also very professional and helpful
Home Services,4.5,CG,The folks at ASP are amazing. The guys at the front desk are also great! I'm very
Home Services,3.5,OR,"fast, friendly service.
they fixed our ice maker and that's what matters."
Home Services,2.0,OR,Our water ran for 3 days and still leaks.
Home Services,1.0,CG,"If I could give negative stars I would. 

I have lived in the neighborhood for about"
Home Services,5.0,CG,"Quick turnaround, great explanation of what it was and what it was not."
Home Services,2.0,CG,Absolute trash company. No driver. Not an easy job. Not worth it.
Home Services,2.5,CG,Hotel is infested with bedbugs. The only way to fix it is to have the person
Home Services,4.5,OR,"Very professional, professional service, and prompt. Did a great job, highly recommend!"
Home Services,2.0,OR,"NewRez Mortgage is a great company, competitive rates and great customer service."
Home Services,4.0,OR,Great management company. Nothing but good interactions with office personnel and maintenance.
Home Services,5.0,OR,"Wonderful people, hard workers, and INCREDIBLY professional...even under the most unpleasant circumstances."
Home Services,1.5,CG,Top notch work. Easy from start to finish. Great prices.
Home Services,4.5,CG,I hope everyone that is reading this review gets the chance to read this review. I am one of
Home Services,5.0,CG,Wow! Carpets came out like a charm and the carpet looks great.
Home Services,4.0,CG,"Good service, Job done correctly, and an amazing job!Very good customer service!  I was"
Home Services,4.0,OR,"Awesome service! speedy reply and arrival & completely reasonably priced, highly recommend it!"
Home Services,4.5,OR,"clear communication, fair and comprehensive price quote, timely arrival, quality work and clean-up"
Home Services,1.0,OR,Terrible customer service wouldnt recommend to worst enemy. Extremely inflexible and rude representatives
Home Services,3.5,OR,What great service! Through and knowledgeable. Helped me with a very stressful situation.
Home Services,4.5,CG,"Professional, kind, efficient, and affordable. We will be calling them again for our next move."
Home Services,5.0,CG,"Professional, prompt, reliable, polite, honest, and an easygoing person. I will definitely recommend"
Home Services,4.5,CG,Great price. Quick service. Really nice staff and the only reason I chose them for my move was
Home Services,3.5,CG,"Great hotel, really enjoyed it. We had the pleasure of staying here after work for a couple of"
Home Services,3.0,CG,"The price continued to increase, and the quality of work was better than ever. I would recommend this"
Home Services,2.0,OR,Has mice problem. Maintenance people couldn't figure it out for 2 years! Terrible place!
Home Services,2.0,OR,Don't stay here. Tonti apartments are cheap and property management has abnormal lease requirements.
Home Services,2.5,OR,They are cheaters and liars. The worse in the industry. Just stay away. Reread.
Home Services,4.0,OR,Excellent service. Very professional and responsive to the garage door repair situation I had.
Home Services,4.5,OR,"Excellent job doing major trimming of our Eucalyptus tree, reasonable price. I highly recommend."
Home Services,4.5,CG,"Fast response. 
Professional Service. 
Called the office and was told they could not"
Home Services,4.0,CG,Sealer did not last a few days and the materials they used were not that great.
Home Services,4.5,CG,"Great service
Great workmanship 
Very knowledgeable
Tinted and professionally painted the finish."
Home Services,3.0,CG,Worst plumbing company ever!! Don't use this company!!We just had a horrible experience with the
Home Services,4.5,CG,"Wonderful friendly, helpful people and a real professional.We just had a horrible experience with the Cl"
Home Services,5.0,OR,Excellent work and great communication. Highly recommend these guys for all your window tint needs.
Home Services,4.0,OR,"Waypoint Inspectors are always professional, courteous, on time, and always look out for my buyers."
Home Services,5.0,OR,"Paul was professional, timely, reasonable and efficient! Everything you could hope for in a handyman!"
Home Services,2.5,OR,Worst internet provider in Nevada. If you need a useable internet service then look elsewhere.
Home Services,4.5,OR,"-so fast
-friendly and posi
-made the move so much easier than any move I've ever had."
Home Services,4.5,CG,Adika did an amazing job cleaning up the mess we had.  She also did a great job
Home Services,4.0,CG,Owner is nice and responds quickly. The guys at the front desk are also very nice and helpful.
Home Services,5.0,CG,Did a great job removing some of the paint and creating a smooth finish for my new home!Great
Home Services,2.5,CG,"THis is a dangerous place, especially when you are trying to get a parking spot for a move"
Home Services,5.0,CG,Great glass shop. Very reasonable prices. The guys were friendly and professional.
Home Services,2.0,CG,"cargo van spanking new, customer friendly & professional crew.  I will definitely recommend them to"
Home Services,5.0,CG,"Great to work with, excellent customer service, and very knowledgeable.

Thanks for the great service"
Home Services,5.0,CG,Very professional and timely and I will be using them again for all my plumbing needs!Very rude.
Home Services,2.5,OR,Great place to do business at. I highly recommend stopping in and looking at there showroom.
Home Services,1.5,OR,"Great service and some of the best knowledge 
In plumbing . Best in Santa Barbara area"
Home Services,2.5,OR,Fast response time! Same day for a/c in summer heat. Great service at a reasonable price.
Home Services,3.0,OR,"Very nice community. The management, leasing, and maintenance teams are very friendly and eager to help."
Home Services,1.5,OR,"Horrible.  Very poor communication - particularly when addressing good homeowners with long-term ownership. Unfair, unscrupulous."
Home Services,5.0,OR,John was very thorough and helpful with follow-up conversations after the inspection. I would recommend him!
Home Services,4.0,OR,My yard has never looked better with Deven and his team on the job. Nuff said.
Home Services,2.5,OR,"Love this place! Fantastic amenities, very clean, very nice people, and very quiet. Would highly recommend."
Home Services,3.5,CG,"Kim and Timmy were prompt, professional, and professional.  I will definitely use them again!"
Home Services,2.0,CG,Horrible customer service don't even know what they are doing. I will not recommend them to anyone
Home Services,5.0,CG,"Jamal was thorough, friendly, and professional. The guys were very knowledgeable about the process, the"
Home Services,1.0,CG,Another 1 star of this company. The only reason I've left a review is because I'm a
Home Services,3.5,CG,"Great customer service, inexpensive alterations, and an amazing quality of work.

If you are looking"
Home Services,4.5,CG,"Great service. Great price. Easy to schedule and the workers are professional. Also, the building is"
Home Services,2.5,CG,My home. I come here every week and the staff is very professional. There is a large pool
Home Services,5.0,CG,Fast and reasonably priced! Scheduling was easy and the workers were professional.
Home Services,2.0,CG,Beautiful apartments never have any issues. The only problem is that they don't have the plumbing and
Home Services,5.0,CG,Great service and very helpful.  The guys were very professional and polite.  I would recommend them
Home Services,3.5,OR,"A company that is professional, prompt & takes pride in their work. Will definitely refer to others."
Home Services,2.0,OR,I couldn't even get these people to call me back regarding several projects I heeded help with.
Home Services,4.0,OR,Friendly and courteous on the phone and in person.  Made two keys quickly.  Good prices.
Home Services,4.5,OR,"Came to clean my apartment before I moved out. Affordable, thorough. Communicated well with me. Very responsive."
Home Services,4.5,OR,"Excellent work, competitive pricing!  On time, quick installation and happy with their work.  Highly recommend."
Home Services,3.0,OR,"Best place to live out there. Property is maintained, friendly staff, any pet welcome and great layout!"
Home Services,1.5,OR,Cox is currently trying to charge me for equipment I already returned. Time to cut the cable.
Home Services,3.5,OR,Their customer service is excellent. We are very pleased we chose them to replace our HVAC system.
Home Services,3.0,OR,"Awesome service.
showed up on time
fixed the leak in less than 10 min
friendly and very clean service person"
Home Services,4.5,OR,"The movers were punctual, worked quickly, and were friendly and professional. What else can one ask for?"
Home Services,5.0,CG,Was able to receive quote on an AC system and installed it in a timely manner.
Home Services,2.0,CG,"Quality first homeimprovement is good, but the quality of work is not. When I moved in"
Home Services,4.0,CG,Great company came quite quickly and did a great job. I will definitely use them again!I am
Home Services,5.0,CG,"Best and reliable roofing company.  The guys were friendly, professional and did a great job."
Home Services,2.5,CG,"Worst customer service and extreme customer service I've ever experienced.

If you have a pet"
Home Services,4.0,CG,Reliable and fast.  A few days ago they sent me a text message stating that I needed
Home Services,4.0,CG,"Ernie Perez was professional, honest, and professional.  We've had her for a year and"
Home Services,4.5,CG,"This company is exceptional, from the moment I called to make an appointment. They were very thorough and"
Home Services,4.0,CG,"Definitely would use again, very happy with the quality and service.

Thanks for the great"
Home Services,5.0,OR,"Great experience.. Mitch came out yesterday , and did a few repairs on my heater . thank-you Mitch."
Home Services,4.0,OR,They don't even get a star. Biggest flakes I have ever dealt with in my life.
Home Services,3.5,OR,"Today Cloverdale Plumbing helped retrieve my daughters lost wallet. Very professional, courteous, honest, and a good samaritan!
Thank You!"
Home Services,5.0,OR,"Great communication, fair price, and easy to work with.   Thank you for making it so seamless."
Home Services,5.0,OR,Excellent prompt and professional service. The Tech has some service solutions that were well explained and made sense.
Home Services,5.0,OR,Very easy working with Alberto. We would definitely use him again for any tree removal or yard work.
Home Services,4.5,OR,Jennifer is super helpful and was able to close in two weeks! I highly recommend this awesome company!
Home Services,1.0,OR,This company is very selfish. Never polite. Must be a requirement to be an a** to work there.
Home Services,1.0,OR,He is a crook! If there were fewer than one star he wouldn't have gotten one!! Stay away.
Home Services,4.5,CG,Hard working team. Thorough attention to detail and quality workmanship.
Home Services,4.5,CG,"They apparently do not follow the law and are very unprofessional. 

The person who came"
Home Services,2.0,CG,I do not recommend this company. The only reason I did not sign my lease was because they were
Home Services,5.0,CG,"Great customer service, fine product, and professional.We just had a horrible experience with the Clipper"
Home Services,3.5,CG,Chris was soooo good! He showed me the pieces and explained what he was going to do to
Home Services,4.5,CG,Showed up promptly and fixed the problem within an hour. I will definitely recommend him to anyone looking
Home Services,4.5,CG,"Wow! After these guys did a great job installing the ceiling fan, I was amazed at how well"
Home Services,4.5,CG,"The ladies did an excellent job. The guys were polite, courteous, and were always available"
Home Services,5.0,CG,Turn out they were having issues with the system and they were able to come out the next day.
Home Services,1.5,CG,Company advertises on local radio stations. The only problem is that they don't have the local channels
Home Services,2.5,CG,They just caused a flood and destroyed the entire property. I will not be using this company again.
Home Services,2.5,OR,The apartments are adorable and the grounds are always well kept. The staff is very prompt and helpful :)
Home Services,1.5,OR,The lack of respect this company shows for their customers and their property is absolutely ridiculous!!!!! Use ANYONE else!!!
