category,rating,label,text_
Restaurants,4.0,CG,love this place.  great atmosphere.  the food is good.  my only complaint is the
Restaurants,4.0,CG,Best pizza in Sherwood Park. We have been going here for years and have always enjoyed the food
Restaurants,4.0,OR,"Love it! Good beans, better rice, amazing enchiladas, fabulous salsa!"
Restaurants,4.5,OR,Little hipster and crowded for me but yummy chocolate croissants.
Restaurants,3.5,CG,terrible servile. not worthy of a second visit.We decided to try this place for the
Restaurants,4.5,CG,"fun, very unpretentious place with a fun atmosphere. We decided to split a salad for the"
Restaurants,4.0,CG,Staff and room were great. Staff was friendly and helpful. Staff was friendly and helpful.
Restaurants,3.5,OR,A nice clean breakfast joint with good food and friendly service....
Restaurants,4.0,OR,Very good Specialty Italian Market!  And their cupcakes are outstanding!!!:-)
Restaurants,4.0,OR,Meatball sandwich was good. LENTIL CHILI WAS FANTASTIC!!!!!Courteous and fast service......
Restaurants,4.0,CG,"This is not the best Chinese food I've had in Nashville, but it's pretty good."
Restaurants,4.0,CG,The prime rib hash cured my craving for the best. I also love that they have a full bar
Restaurants,4.0,CG,"The lunch buffet is excellent. nice atmosphere, nice menu, and good prices."
Restaurants,4.0,CG,"Super relaxed atmosphere, delicious Dominican food. The only reason I'm giving 4 stars is the wait time"
Restaurants,4.5,OR,Crazy good breakfast sandwiches! Worth my 20min ride for one and back!
Restaurants,4.0,OR,Bomb breakfast. Great services. Highly recommend the eggs Benedict and mimosa flights
Restaurants,3.5,OR,These guys are really nice. The pizza is great and delivered quickly.
Restaurants,2.5,OR,"Rico don't sell it! 

Peter is an awesome bartender by the way"
Restaurants,4.0,CG,"1. Great performance
2. Staff is friendly and attentive
3."
Restaurants,4.0,CG,"Amazing lunch!!!
Planters punch, catfish pecan, and crab claws."
Restaurants,4.0,CG,Great food and helpful bartender/server. The food was good but nothing special.
Restaurants,4.0,CG,"Stunning food, service excellent, a nice place to go if you're in the mood for a"
Restaurants,4.5,CG,"Amazing food, create cuban, consistent, and professional. Great prices too."
Restaurants,4.0,CG,Fun spot! Great vibe and atmosphere. The food is amazing! My favorite is the yellowtail and
Restaurants,3.5,OR,Great cooked oysters and fun atmosphere! They also have good happy hour specials.
Restaurants,4.0,OR,Wonderfully prepared and beautifully presented food. Staff is very friendly. Bright and clean.
Restaurants,4.0,OR,Consistently good standard American and Mexican breakfast fare. The coffee not so impressive.
Restaurants,4.5,OR,Great atmosphere with quality service and good prices. Highly recommend the rainbow roll.
Restaurants,4.5,OR,Just ok to stand in line for the BBQ is a little much.
Restaurants,4.5,OR,"First time having Thai, definitely coming again. Amazing service, delicious food. Fair priced."
Restaurants,3.5,CG,"Great breakfast, if a little pricey. The food is good but nothing special."
Restaurants,4.5,CG,My favorite taco place. Great atmosphere. The food is amazing. My husband loves the churros
Restaurants,4.5,CG,Million Dollar Bacon can't be beat. The only reason I'm giving it 4 stars is because
Restaurants,4.5,CG,"This is what a Donut shop should be. 

We love Donuts! We go"
Restaurants,4.0,CG,Excellent Mexican done authentic.. The atmosphere is nice with lots of people watching. The staff is friendly and
Restaurants,4.5,CG,Everything you could ever want! We will be back!Very good food.
Restaurants,3.5,CG,Excellent pizza!  Ordered veggie pizza with mushroom and sausage.
Restaurants,4.5,CG,Great food. Cool little place. Staff is friendly. Great prices.
Restaurants,3.5,OR,"Outstanding! Excellent salad bar, high quality meats, and a superb caipirinha ...Worth every penny."
Restaurants,4.0,OR,"Nothing special food-wise, people come here for the broadway experience and the bar/dance scene."
Restaurants,3.0,OR,Burrito bowl with brown rice! The place needs to be kept in cleaner condition.
Restaurants,4.0,OR,Great tacos! Very tasty!! Margaritas are bold with Mexican tequila flavor!! Salsa is amazing!
Restaurants,4.0,OR,Delicious food and great ambiance. I would most definitely return for dinner and drinks
Restaurants,4.0,OR,Michael was amazing! Attentive and fast service. We were here for drinks and pretzels
Restaurants,4.5,OR,Amazing for me (vegan) and my boyfriend (nonvegan)! We love this place so much!
Restaurants,4.5,OR,"one of the best cheese steaks in philly, in my opinion.  
Nuff said."
Restaurants,4.0,CG,Amazing breakfast. Mimosas are top notch. The only reason I'm giving 4 stars is the
Restaurants,2.5,CG,I LOVE Denny's breakfast! The atmosphere is great and the staff is always friendly! The best
Restaurants,3.5,CG,Convenient is the game here. We have been here many times and it's always a fun time
Restaurants,4.5,CG,Best health food store - and it's the best. I will be going back!Very good.
Restaurants,3.5,CG,"Great food, drinks and friendly staff. The only reason I'm giving 4 stars is the wait time"
Restaurants,3.0,CG,"Clean, contemporary, and inviting. We will be back!Very good food."
Restaurants,3.5,CG,Love the diverse menu & the flavors are amazing! We've tried a lot of the local breweries and
Restaurants,4.0,CG,"Super nice cruise, very informative and helpful, and very comfortable."
Restaurants,4.0,CG,Love! I'm always happy with this place and the food is always fresh.
Restaurants,4.0,CG,Great place for your typical diner fare.  Great prices for the amount of food you get. 
Restaurants,4.5,CG,Awesome and amazing food and atmosphere. The only reason I'm giving 4 stars is because the service was
Restaurants,3.5,OR,Quality of the restaurant has never wavered. What more can you say about hibernating pachyderms.
Restaurants,5.0,OR,Excellent sandwiches!  Ordered for a group of five and great reviews across the board.
Restaurants,4.0,OR,The tacos tasted like shit and the horchata was horrible definitely wouldn't recommend this place
Restaurants,4.5,OR,Fantastic empanadas and a great margarita! Cool atmosphere and valet parking. Open air veranda upstairs.
Restaurants,4.0,OR,A block away. Good beer. Daniele rules. Would get 5 stars if they carried Bud.
Restaurants,2.0,OR,A good product with great service. Orders are accurate and food is prepared to order.
Restaurants,4.0,OR,Pricing is reasonable. My lobster bisque and Cuban sandwich was good. The hefeweizen was medicore.
Restaurants,3.0,OR,Great staff with friendly convo! They are super quick and always going the extra mile.
Restaurants,4.5,OR,"Cool setting. Flavorful, well thought dishes. Very attentive and capable staff. Thoroughly enjoyed our meal."
Restaurants,4.0,OR,"Great place for breakfast / lunch meetings downtown. 

Love the Crema coffee (get the cuban)."
Restaurants,4.0,OR,"Bowling, chicken, cocktails, pork ribs, people this is not rocket since."
Restaurants,4.0,CG,"Wonderful place with fresh, made-to-order food. I will definitely be back!Very"
Restaurants,3.0,CG,Cool vibe. Great beer selection. Great people. Great food.
Restaurants,4.0,CG,We had the renowned fish and chips and the shrimp and grits.
Restaurants,4.5,CG,"Shitty ass gumbo, Should've gone with the shrimp. Took forever for my food to"
Restaurants,4.0,CG,My second favorite restaurant in Tampa. The food is amazing. My husband and I have been here twice
Restaurants,4.0,CG,Excellent food and service. Had the crab claws with shrimp and grits.
Restaurants,4.0,CG,Great customer service! Loved the atmosphere and the food was amazing! My husband and I got the
Restaurants,4.5,CG,Stella was amazing and considerate-wise. The food was just what we needed for a special
Restaurants,4.0,CG,Loved all the different craft beers on tap. Great atmosphere.
Restaurants,3.5,CG,FYI: they don't allow backpacks. We asked the hostess and she said they don
Restaurants,4.5,CG,Yelped a place near the airport and I was very pleased.
