category,rating,label,text_
Restaurants,4.0,CG,Excellent food.  Large servings.  Great burgers.  Great fries.  Great beer.  Great service.  Large portions.
Restaurants,4.0,OR,best chicken with green and yellow sauce cilantro rice.
Restaurants,4.0,CG,"Hit the spot. Great food, friendly servers. Prices were reasonable. Service was good."
Restaurants,4.5,OR,"Consider yourself lucky if you can get one, bomb dot com."
Restaurants,3.5,CG,"Well, I thought it was awesome. The restaurant is located in the Food Hall of the Museum of Natural History, and it's"
Restaurants,4.0,CG,Cozy restaurant great food..great service..brisket was not cooked on a hot day..but the salsa was just right..chef was tight..
Restaurants,4.0,OR,Pizza was better hot - delivery was quick and wings were tasty!
Restaurants,3.0,OR,"Excellent ribs, and Prime rib!!!
Margaritas are amazing also!!!
Great atmosphere and wait staff!"
Restaurants,4.0,CG,"We had crawfish po-boy, shrimp and crawfish on our menu today. The meal was delicious. My friend ordered the crawfish and"
Restaurants,4.0,CG,"The blackened red fish never arrived, and so I ordered a sample of the fried calamari."
Restaurants,4.5,OR,"Awesome concept addition to Melbourne! Great steak boards, sharing plates and amazing veggies"
Restaurants,4.5,OR,....just go there...get Venezuelan empanadas...and cheese sticks....no disappointment. Can't wait to go back
Restaurants,4.5,CG,"for years---- three words: dozen.
The bagel was fresh, soft, and flavorful. The cream cheese spread on the bagel"
Restaurants,4.5,CG,Had lunch today. yum yum chicken. The salmon was yum yum yum.
Restaurants,4.0,CG,By far the best kale salad I have had in the last 6 months. I did not even expect to like it.
Restaurants,4.5,OR,A nice slice of history here. Would recommend! Po-boys tasted as good as expected.
Restaurants,4.0,OR,Curry chicken and jerk chicken were delicious! Very authentic food and portions are good!
Restaurants,4.0,OR,Friendly staff and amazing service to accompany amazing food! Can't ask for much more.
Restaurants,3.0,CG,Yuck!! It was all terrible! Why is everything so bad that they are paying so much more? I really wanted to try the pork
Restaurants,4.5,CG,"Delicious croissants and sweets and a great burger.

I'd recommend a couple of beers here, particularly the one I had"
Restaurants,4.5,CG,"Amazing food, great service, huge portions and very reasonably priced. The menu is very diverse, but we had several new favorites."
Restaurants,4.5,CG,"Best tacos in the area!!! 

The fish tacos were great, the El Diablo burrito was amazing and the salsa was"
Restaurants,4.5,OR,"Good food, helpful staff, nice atmosphere! The waiter was really helpful and made great recommendations."
Restaurants,4.5,OR,"Great food, drinks and atmosphere. Restaurant practices great social distancing. The fish is always fresh."
Restaurants,4.5,OR,"Service good. Little slow, but still good, nice staff, the best shrimp mezzo mezzo pasta,"
Restaurants,4.0,OR,"Awesome service. Great atmosphere, and great food and cocktails.

Would 10/10 recommend.

Keep up the good work!"
Restaurants,4.0,CG,"Best chick fil a ever.
But wait 
The place is gonna shut down

My friend just told me that their"
Restaurants,2.0,CG,"Love wings, favorite spot! The food is so fresh, the staff is very friendly and helpful, and the atmosphere is very relaxing."
Restaurants,4.5,CG,The food and service was not great. I ordered the special Mexican platter and I found the small plate to be mediocre.
Restaurants,4.0,CG,"Food was delicious!! We order the fried oysters with blackberry sauce, and the salmon and shrimp cocktail."
Restaurants,3.5,CG,"F*ckin unbelievable 
I wouldn't feed it to my son but it was amazing for my daughter who is an absolute maniac."
Restaurants,4.0,OR,"Cool ambience, love the self serve beer fridges. had the Bahn Mi and Pho combo. really good."
Restaurants,3.5,OR,"Exemplary food, wonderful food, and excellent service. Delicious plates! They care about their customers. Highly recommended."
Restaurants,4.0,OR,"Best pizza in town 
You go to try the Chicago style pizza
Nothing ever frozen mmmm good"
Restaurants,2.5,OR,Great place good eats. Quick counter service and friendly staff clean and nice lighting very calm.
Restaurants,4.0,OR,"Amazing pizza and service. If you don't get the ""pulled piggy""  you're gonna regret it!!"
Restaurants,4.0,CG,"Good food, although bbq brisket is the best (which I have tried). The service is average. Overall great experience."
Restaurants,4.5,CG,"Simple menu, well-executed. Service was good, cleaning up was slow. Parking was not so good."
Restaurants,3.0,CG,Food was good but the service was horrible. We ordered on a Sunday night and they gave us a great service.
Restaurants,4.0,CG,"Everything good said has been amazing, the pizza is amazing, the staff is amazing, and the food is amazing."
Restaurants,3.5,CG,I love the Press Box. It's a good way to get a quick bite to eat or meet up with friends.
Restaurants,3.5,OR,Great Ice Cream. Lots of fun to be here. The place is clean and the service friendly.
Restaurants,4.0,OR,Delicious food. Excellent service by Fabian. Lots of vegetarian options. Guacamole some of the best I've had
Restaurants,4.0,OR,"We came here for dinner on a Sunday, The steak at RC's is consistently the best around."
Restaurants,4.0,OR,Great vibe! Amazing food and fantastic service. The truffle pizza is spoon delicious.
Restaurants,4.0,OR,The service in this place was delightful. We had wonderful dessert and for breakfast we got mini-donuts.
Restaurants,2.5,CG,"Ordered the Jim Bean burger, I was really excited, it was really good. The burger was really fresh and was a little"
Restaurants,4.0,CG,Best coffee in Franklin hands down. I know the owner well and he is the best. I tried the coffee and it was
Restaurants,3.5,CG,Excellent service and delicious grilled oysters. I would recommend to all the people in the area.
Restaurants,4.0,CG,"My new fave coffee spot and let me tell you, it's one of the best. And with a few exceptions, every"
Restaurants,4.0,CG,Great craft beer. Honey wheat ale is really good. The B. I. is great.
Restaurants,4.5,CG,"Great food, reasonable prices, love the place.

I agree with others that the menu is a little too heavy on the salads"
Restaurants,4.0,OR,"Very good flavor, texture, service!   Family owned, and they really care about quality and their customers."
