category,rating,label,text_
Shopping,4.5,CG,"I would not recommend this location to anyone. 

I have visited a few other locations."
Shopping,5.0,CG,Many many thanks for making this an easy and fun experience for all. Thank you!Very rude.
Shopping,4.5,OR,"Great selection and very knowledgeable staff, best place for cigars!"
Shopping,3.0,OR,great title with average touristy trap for mardi gras goers
Shopping,4.5,CG,Good local shop. Its kind of a shame they don't carry it. If you have a question
Shopping,4.0,CG,Very helpful and knowledgeable staff. We will be back!Very knowledgeable and friendly staff.
Shopping,4.0,OR,"Beautiful collection, friendly staff and way more relaxed than most museums."
Shopping,5.0,OR,"Great small store, with good quality of paint and reasonable prices."
Shopping,2.5,CG,Large selection of Nike Footwear. The staff is friendly and helpful. There is a large selection of
Shopping,3.0,CG,Teri in mens polo is a real professional and very knowledgeable.
Shopping,4.0,CG,Inaccuracy information. Walk-ins are not allowed. The only way to get in and out
Shopping,4.5,CG,"Nice local bookstore, great selection, and the owner is super knowledgeable about her books."
Shopping,3.5,OR,Lots of bikes to choose from and they start at good prices
Shopping,3.5,OR,Great arrangement and dependable service make Mona's Accents a choice for me.
Shopping,3.5,OR,Really friendly employees who just let me shop.
Shopping,4.5,OR,Owner is super nice and his prices are very fair. Highly recommend.
Shopping,4.5,CG,Best place around to buy a firearm and accessories.  I will definitely be back!Very rude.
Shopping,4.5,CG,Lovely store. Very helpful. Always happy to support local business. I will definitely be back!
Shopping,4.5,CG,They are fantastic. Always professional and helpful. Great prices too.
Shopping,4.0,OR,"Green selection and great prices
but the worst customer service you could possibly imagine"
Shopping,5.0,OR,Awesome workout with super friendly instructors. Barre3 is definitely my favorite Barre studio.
Shopping,4.0,OR,Best service from the only old fashion hardware store in the city! Thanks!
Shopping,5.0,CG,Been going here for years and have always been very pleased with the customer service.
Shopping,4.5,CG,Very friendly and knowledgable. Had a great experience with the sales people.
Shopping,4.0,CG,"Great service, fair pricing, prompt and fair pricing. 

Thanks again for a great experience"
Shopping,5.0,CG,"Small, but mighty!!! A perfect little place to go if you're in the mood for a chill"
Shopping,2.5,CG,ok on prices but could not say the same about the service.
Shopping,4.0,OR,Had to get help from the Nevada Contractors Board after dealing with this company.
Shopping,5.0,OR,Great and talented owners! Really enjoyed coming to the shop. Loved the location too.
Shopping,4.5,OR,Still great.  Still friendly.  One of my favorite record shops in America.
Shopping,3.5,OR,"Horrible experience, customer service, training and their online ordering systems need a major overhaul."
Shopping,4.0,OR,"Great vibe, great live music and the best Mojitos i've ever had."
Shopping,3.5,CG,"cool shop, mix of vintage and new, with lots of good stuff. There is a decent selection"
Shopping,5.0,CG,"Showing up before 6 does not say much. 

I left my bag in the store"
Shopping,4.0,CG,This place is exceptional always go here and the staff is knowledgeable and friendly!This is a pretty typical
Shopping,3.0,CG,"Wonderful electronics section!!

friendly faces and friendly staff

We just bought a new Mac"
Shopping,3.0,CG,Terrible haircut. Uneven all over hair. The cut was uneven.
Shopping,3.0,CG,Marian Garcia is absolutely the best! I am very pleased with my purchases and have been to every
Shopping,2.5,CG,"Great store. Great designer selection, and an amazing customer service. I will definitely be back!Very"
Shopping,3.5,CG,"Thanks for the offer, but not for the quality of work."
Shopping,2.5,CG,"No problems, great reps & friendly staff. Great prices too."
Shopping,4.5,OR,"Fast, Friendly and Convenient.  Very professional and fixed my cracked screen with no problem"
Shopping,4.0,OR,The best men's consignment in Indianapolis. Love their candles. Staff is always nice and helpful!
Shopping,3.5,OR,Unbelievably slow customer service!!! Holiday weekend and not enough staff.  Everything else is fine.
Shopping,3.5,OR,"The place to go for any cell phone mishaps. Friendly, knowledgeable, helpful. Rescued my iPhone."
Shopping,4.0,OR,Awesome place and great people! Don't wanna miss this place! Everyone got flavor and taste!
Shopping,2.0,OR,"Shops are reasonable, food court has lots of samples and its in a descent location."
Shopping,3.5,OR,Best Verizon Wireless Retailer!! Shevy is the best - so knowledgeable and ready to assist!
Shopping,3.0,OR,Greene Street had better inventory and better quality clothes...really not into chatty employees complaining either.
Shopping,5.0,OR,The birthday bouquet that you just delivered for my husband is absolutely stunning! Beautifully done!
Shopping,4.5,CG,"The best place to find a gift for an important occasion.

If you're looking for a"
Shopping,4.0,CG,"Decent place for used books, especially the ones you just picked up. There is a large selection"
Shopping,2.5,CG,"Wrote review for wrong ""Flower"" & the owner was very rude & unprofessional."
Shopping,4.0,CG,Very nice. So glad to find a locally owned business. I will definitely be back!Very rude
Shopping,4.5,CG,"The instructor tuned up my hair and I was very pleased with how she handled my hair. 
"
Shopping,3.5,CG,Mitch's did a great job on my wedding dress and it was a lot more beautiful than I
Shopping,2.0,CG,Great prices & selection of frames & accessories. Great prices too.
Shopping,3.5,CG,"Ordered animals needed for third time. The shipping was fine but after a week of shipping, the"
Shopping,4.5,CG,Very friendly convenient and reasonable. Staff is always helpful and friendly.
Shopping,4.5,OR,Ordered an arrangement on-line for same day delivery. The arrangement was unique and beautiful! Great experience!
Shopping,4.5,OR,My boyfriend sent me these flowers on Monday and they look even more amazing today (Friday)
Shopping,5.0,OR,"the perfect hardware store. old school very helpful.  will cut steel to order
they have EVERYTHING"
Shopping,5.0,OR,"Kevin is very courteous, knowledgeable, and works at lightning speed.  They stand behind their work."
Shopping,4.0,OR,The employees smelled unacceptably poor. Could not print what I needed and the staff was unhelpful.
Shopping,4.5,OR,Always good material and friendly folks willing to help find just the right plant (or tree!).
Shopping,4.5,OR,"Simply the best in color,  cut,  waxing,  and makeup!   Consistently excel."
Shopping,4.0,OR,Great shop with an excellent selection of winter clothing. The staff was friendly and very helpful!
Shopping,3.5,OR,"Great customer service, always knowledgable, courteous and helpful employees. This is any girls's favorite makeup store!!"
Shopping,4.5,CG,Love it. Love the artwork. Love it. Love it. Love it. Love it.
Shopping,3.5,CG,This was my favorite store in the area. It is small but has a great variety of items.
Shopping,5.0,CG,"Love this store. Always super friendly and helpful. Great prices too. Also, the people are always"
Shopping,4.0,CG,"This shop can barely fix a tire, let alone a wheel."
Shopping,5.0,CG,Dr. Pascarella found the perfect pair of glasses for me. I will definitely be using this
Shopping,3.5,CG,Place is awesome! Chris the owner is super sweet and knowledgeable. My husband and I got our first
Shopping,4.5,CG,"Located in the Christiana Town Center area, the store is organized into sections that resemble a large store"
Shopping,3.5,CG,"Great service. And they have a huge selection. Great prices too. Also, they have a pretty"
Shopping,3.0,CG,Great place to buy.I had an amazing experience at this store.  I have been to every
Shopping,4.5,CG,"Interesting store, very small space. Staff is nice and helpful. I will definitely be back!"
Shopping,4.5,CG,Awesome customer service here! Always go to the store to make sure they have what you need! If
Shopping,3.5,CG,This store seriously needs to go. The employees are just rude and unprofessional.
Shopping,3.0,CG,Great service and lovely friendly people. The only reason I didn't give them a star is because they
Shopping,4.0,OR,great shop.  Great prices and really good service.  So glad they opened shop in Doylestown.
Shopping,4.5,OR,"everything about The Cave rocks - including my haircut , ... See you in a month !"
Shopping,4.0,OR,We absolutely recommend this company. Ontime and got the job done quickly. We will definitely use again.
Shopping,4.0,OR,"Great music, relaxed atmosphere and good cigars make this your go to spot for a night out."
Shopping,3.5,OR,Great shopping mall ranging from stores like forever 21-Gucci. Something for everyone here shopping and eating wise.
Shopping,4.5,OR,"Great store. Especially impressed with how friendly and helpful the staff is. 
Terrific stock and fair prices."
Shopping,4.5,OR,"Beautiful place with a variety of stones, jewelery, and more. The owner is super nice and knowledgeable!"
Shopping,3.5,OR,"First things first, the acai bowl is super delicious. But, the customer service is always pretty bad."
